mysql> SELECT week, away_team, away_score, home_team, home_score, spread, (home_score - away_score + spread) AS cushion FROM pl_games WHERE season = 2012 AND week > 0 AND home_score IS NOT NULL ORDER BY cushion DESC;
+------+-----------+------------+-----------+------------+--------+---------+
| week | away_team | away_score | home_team | home_score | spread | cushion |
|    2 | DET       |         19 | SF        |         27 |   -6.5 |     1.5 |
|   13 | MIN       |         14 | GB        |         23 |   -7.5 |     1.5 |
|   13 | NE        |         23 | MIA       |         16 |    8.5 |     1.5 |
|    4 | NYG       |         17 | PHI       |         19 |   -1.5 |     0.5 |
|   14 | BAL       |         28 | WAS       |         31 |   -2.5 |     0.5 |
|    7 | SEA       |          6 | SF        |         13 |   -6.5 |     0.5 |
|    7 | ARI       |         14 | MIN       |         21 |   -6.5 |     0.5 |
|    2 | TB        |         34 | NYG       |         41 |   -6.5 |     0.5 |
|   12 | ATL       |         24 | TB        |         23 |    1.5 |     0.5 |
|   11 | BAL       |         13 | PIT       |         10 |    3.5 |     0.5 |
|   13 | TB        |         23 | DEN       |         31 |   -7.5 |     0.5 |
|    2 | CLE       |         27 | CIN       |         34 |   -6.5 |     0.5 |
|   12 | HOU       |         34 | DET       |         31 |    3.5 |     0.5 |
|    1 | JAX       |         23 | MIN       |         26 |   -3.5 |    -0.5 |
|    3 | NE        |         30 | BAL       |         31 |   -1.5 |    -0.5 |
|    6 | STL       |         14 | MIA       |         17 |   -3.5 |    -0.5 |
|   13 | CLE       |         20 | OAK       |         17 |    2.5 |    -0.5 |
|    3 | NYJ       |         23 | MIA       |         20 |    2.5 |    -0.5 |
|   11 | GB        |         24 | DET       |         20 |    3.5 |    -0.5 |
|    7 | JAX       |         23 | OAK       |         26 |   -3.5 |    -0.5 |
|    5 | PHI       |         14 | PIT       |         16 |   -2.5 |    -0.5 |
|    7 | DET       |          7 | CHI       |         13 |   -6.5 |    -0.5 |
|    2 | BAL       |         23 | PHI       |         24 |   -1.5 |    -0.5 |
|   11 | SD        |         23 | DEN       |         30 |   -7.5 |    -0.5 |
|   12 | BAL       |         16 | SD        |         13 |    1.5 |    -1.5 |
|    3 | TB        |         10 | DAL       |         16 |   -7.5 |    -1.5 |
|   14 | TEN       |         23 | IND       |         27 |   -5.5 |    -1.5 |
|    7 | WAS       |         23 | NYG       |         27 |   -5.5 |    -1.5 |
|    6 | DAL       |         29 | BAL       |         31 |   -3.5 |    -1.5 |
|    8 | NYG       |         29 | DAL       |         24 |    2.5 |    -2.5 |
|    4 | MIA       |         21 | ARI       |         24 |   -5.5 |    -2.5 |
|    7 | DAL       |         19 | CAR       |         14 |    2.5 |    -2.5 |
|   14 | DEN       |         26 | OAK       |         13 |   10.5 |    -2.5 |
|   14 | NYJ       |         17 | JAX       |         10 |    3.5 |    -3.5 |
|    5 | ATL       |         24 | WAS       |         17 |    3.5 |    -3.5 |
|   14 | DAL       |         20 | CIN       |         19 |   -2.5 |    -3.5 |
|    1 | STL       |         23 | DET       |         27 |   -7.5 |    -3.5 |
|    7 | TEN       |         35 | BUF       |         34 |   -2.5 |    -3.5 |
|    4 | WAS       |         24 | TB        |         22 |   -1.5 |    -3.5 |
|   13 | ARI       |          6 | NYJ       |          7 |   -4.5 |    -3.5 |
|    4 | CAR       |         28 | ATL       |         30 |   -6.5 |    -4.5 |
|    9 | DEN       |         31 | CIN       |         23 |    3.5 |    -4.5 |
|    7 | GB        |         30 | STL       |         20 |    5.5 |    -4.5 |
|   11 | CLE       |         20 | DAL       |         23 |   -7.5 |    -4.5 |
|    7 | NO        |         35 | TB        |         28 |    2.5 |    -4.5 |
|    3 | HOU       |         31 | DEN       |         25 |    1.5 |    -4.5 |
|   11 | TB        |         27 | CAR       |         21 |    1.5 |    -4.5 |
|    4 | CLE       |         16 | BAL       |         23 |  -12.5 |    -5.5 |
|    7 | PIT       |         24 | CIN       |         17 |    1.5 |    -5.5 |
|   14 | STL       |         15 | BUF       |         12 |   -2.5 |    -5.5 |
|   12 | CAR       |         30 | PHI       |         22 |    2.5 |    -5.5 |
|   13 | CIN       |         20 | SD        |         13 |    1.5 |    -5.5 |
|    8 | JAX       |         15 | GB        |         24 |  -14.5 |    -5.5 |
|   13 | PHI       |         33 | DAL       |         38 |  -10.5 |    -5.5 |
|   10 | BUF       |         31 | NE        |         37 |  -11.5 |    -5.5 |
|   11 | ARI       |         19 | ATL       |         23 |   -9.5 |    -5.5 |
|    3 | BUF       |         24 | CLE       |         14 |    3.5 |    -6.5 |
|    9 | PIT       |         24 | NYG       |         20 |   -2.5 |    -6.5 |
|    9 | BAL       |         25 | CLE       |         15 |    3.5 |    -6.5 |
|    8 | CAR       |         22 | CHI       |         23 |   -7.5 |    -6.5 |
|    5 | MIA       |         17 | CIN       |         13 |   -2.5 |    -6.5 |
|    6 | OAK       |         20 | ATL       |         23 |   -9.5 |    -6.5 |
|    6 | DET       |         26 | PHI       |         23 |   -3.5 |    -6.5 |
|    5 | SEA       |         16 | CAR       |         12 |   -2.5 |    -6.5 |
|    4 | NO        |         27 | GB        |         28 |   -7.5 |    -6.5 |
|   13 | HOU       |         24 | TEN       |         10 |    6.5 |    -7.5 |
|    3 | JAX       |         22 | IND       |         17 |   -2.5 |    -7.5 |
|   13 | IND       |         35 | DET       |         33 |   -5.5 |    -7.5 |
|   10 | HOU       |         13 | CHI       |          6 |   -0.5 |    -7.5 |
|    7 | NYJ       |         26 | NE        |         29 |  -10.5 |    -7.5 |
|    6 | BUF       |         19 | ARI       |         16 |   -4.5 |    -7.5 |
|   12 | SF        |         31 | NO        |         21 |    1.5 |    -8.5 |
|    1 | SD        |         22 | OAK       |         14 |   -0.5 |    -8.5 |
|    3 | CIN       |         38 | WAS       |         31 |   -2.5 |    -9.5 |
|   11 | JAX       |         37 | HOU       |         43 |  -15.5 |    -9.5 |
|   12 | WAS       |         38 | DAL       |         31 |   -2.5 |    -9.5 |
|   13 | SEA       |         23 | CHI       |         17 |   -3.5 |    -9.5 |
|   10 | KC        |         13 | PIT       |         16 |  -12.5 |    -9.5 |
|   14 | PHI       |         23 | TB        |         21 |   -7.5 |    -9.5 |
|    8 | IND       |         19 | TEN       |         13 |   -3.5 |    -9.5 |
|    9 | CAR       |         21 | WAS       |         13 |   -2.5 |   -10.5 |
|    9 | TB        |         42 | OAK       |         32 |   -0.5 |   -10.5 |
|    1 | DAL       |         24 | NYG       |         17 |   -3.5 |   -10.5 |
|   13 | PIT       |         23 | BAL       |         20 |   -7.5 |   -10.5 |
|    8 | OAK       |         26 | KC        |         16 |   -0.5 |   -10.5 |
